epoch,step,train_loss,val_loss
0,49,0.3646843731403351,
0,99,1.0067442655563354,
0,149,0.34825271368026733,
0,199,0.13228031992912292,
0,249,0.9801579713821411,
0,299,0.30032879114151,
0,349,0.8428858518600464,
0,399,0.2203867882490158,
0,449,1.286038875579834,
0,499,0.40958380699157715,
0,549,0.9412020444869995,
0,599,0.26462453603744507,
0,649,0.09269382059574127,
0,699,1.0314651727676392,
0,749,0.33492469787597656,
0,799,0.6118871569633484,
0,849,0.44816339015960693,
0,899,0.43752461671829224,
0,949,0.9317352771759033,
0,999,0.992430567741394,
0,1049,0.7327094078063965,
0,1099,0.23347966372966766,
0,1149,1.0457220077514648,
0,1199,2.574697971343994,
0,1249,0.7782091498374939,
0,1299,0.6777193546295166,
0,1349,0.44264906644821167,
0,1399,1.9011964797973633,
0,1449,0.9826526641845703,
0,1499,0.49371337890625,
0,1549,1.1308841705322266,
0,1599,1.4800156354904175,
0,1649,0.5750488638877869,
0,1699,0.3294185698032379,
0,1749,0.8079165816307068,
0,1799,0.4817545413970947,
0,1849,0.8155736923217773,
0,1899,0.47758567333221436,
0,1949,0.5424239039421082,
0,1999,0.6280102133750916,
0,2049,0.500285804271698,
0,2099,0.8504036664962769,
0,2149,0.6356152296066284,
0,2199,0.7346086502075195,
0,2249,0.37869298458099365,
0,2299,0.19385665655136108,
0,2349,0.444354772567749,
0,2399,1.470684289932251,
0,2449,0.6138141751289368,
0,2499,0.45994943380355835,
0,2549,0.42081326246261597,
0,2599,0.6474563479423523,
0,2649,2.130880355834961,
0,2699,0.43349799513816833,
0,2749,0.13774754106998444,
0,2799,0.7028526067733765,
0,2849,1.0655622482299805,
0,2899,0.5778038501739502,
0,2949,0.769096314907074,
0,2999,1.3200867176055908,
0,3049,0.5776838064193726,
0,3099,0.355068176984787,
0,3149,1.1368443965911865,
0,3199,0.6407227516174316,
0,3249,0.5077546834945679,
0,3299,1.0226579904556274,
0,3349,0.19632545113563538,
0,3399,0.4546688497066498,
0,3449,0.8122231364250183,
0,3499,0.22315824031829834,
0,3549,0.8266717195510864,
0,3599,0.12667244672775269,
